time_s,roll_deg,pitch_deg,yaw_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps
8.84459900856018,0.875,1.324,-166.519,-0.122,0.183,1.892
8.849776029586792,0.874,1.324,-166.516,-0.122,0.244,1.892
8.854862928390503,0.871,1.324,-166.513,-0.305,0.244,1.831
8.859675168991089,0.867,1.324,-166.508,-0.549,0.244,1.831
8.86466097831726,0.862,1.323,-166.504,-0.671,0.244,1.831
8.86978816986084,0.858,1.322,-166.5,-0.61,0.244,1.892
8.874704122543335,0.856,1.321,-166.496,-0.427,0.244,1.892
8.879409074783325,0.854,1.321,-166.492,-0.183,0.244,1.892
8.884681940078735,0.853,1.32,-166.488,-0.183,0.244,1.953
8.889647006988525,0.851,1.32,-166.483,-0.183,0.244,1.953
8.894665002822876,0.848,1.319,-166.479,-0.366,0.244,1.953
8.899672985076904,0.845,1.319,-166.475,-0.427,0.244,1.892
8.904672861099243,0.842,1.318,-166.472,-0.61,0.244,1.831
8.909617185592651,0.838,1.318,-166.469,-0.61,0.183,1.831
8.914663076400757,0.835,1.318,-166.465,-0.549,0.183,1.892
8.919631958007812,0.833,1.318,-166.462,-0.366,0.244,1.892
8.924625158309937,0.832,1.318,-166.458,-0.183,0.244,1.892
8.929610967636108,0.831,1.318,-166.455,-0.183,0.244,1.892
8.93461298942566,0.829,1.317,-166.452,-0.305,0.244,1.892
8.939601182937622,0.827,1.316,-166.449,-0.366,0.244,1.892
8.944614171981812,0.823,1.316,-166.444,-0.427,0.244,1.892
8.94963002204895,0.82,1.316,-166.44,-0.488,0.244,1.892
8.954590082168579,0.817,1.316,-166.436,-0.488,0.244,1.831
8.959599018096924,0.815,1.315,-166.431,-0.305,0.244,2.014
8.96461296081543,0.813,1.314,-166.426,-0.305,0.244,1.953
8.969641923904419,0.811,1.314,-166.422,-0.366,0.244,1.892
8.974617004394531,0.809,1.312,-166.418,-0.366,0.305,1.892
8.98038387298584,0.806,1.311,-166.414,-0.366,0.305,1.892
8.984493017196655,0.804,1.31,-166.41,-0.366,0.305,1.892
8.989489078521729,0.802,1.309,-166.406,-0.305,0.305,1.953
8.994546175003052,0.8,1.308,-166.402,-0.366,0.244,1.831
8.999475955963135,0.798,1.307,-166.399,-0.427,0.244,1.831
9.004467248916626,0.796,1.307,-166.396,-0.427,0.244,1.831
9.009458065032959,0.794,1.306,-166.393,-0.427,0.244,1.77
9.014469146728516,0.792,1.306,-166.389,-0.427,0.244,1.892
9.0194091796875,0.79,1.306,-166.386,-0.427,0.244,1.953
9.024441003799438,0.789,1.305,-166.382,-0.366,0.244,1.892
9.029402017593384,0.788,1.305,-166.379,-0.305,0.244,1.892
9.034425020217896,0.786,1.305,-166.376,-0.305,0.183,1.892
9.039489984512329,0.784,1.305,-166.373,-0.366,0.244,1.831
9.044366121292114,0.782,1.304,-166.368,-0.427,0.183,1.831
9.049355030059814,0.778,1.304,-166.363,-0.488,0.183,1.77
9.05491018295288,0.774,1.303,-166.358,-0.549,0.183,1.77
9.05945110321045,0.77,1.302,-166.352,-0.549,0.244,1.831
9.064343929290771,0.768,1.301,-166.347,-0.427,0.244,1.831
9.069348096847534,0.766,1.3,-166.342,-0.305,0.244,1.831
9.074358940124512,0.765,1.3,-166.337,-0.061,0.244,1.831
9.079357147216797,0.763,1.3,-166.331,-0.0,0.244,1.953
9.084338188171387,0.761,1.3,-166.325,-0.183,0.122,1.953
9.089341163635254,0.758,1.301,-166.32,-0.427,0.122,1.892
9.095302104949951,0.753,1.301,-166.316,-0.793,0.183,1.77
9.099382877349854,0.749,1.3,-166.312,-0.916,0.183,1.709
9.104304075241089,0.747,1.299,-166.308,-0.732,0.183,1.77
9.109314918518066,0.747,1.298,-166.303,-0.366,0.244,1.892
9.11428713798523,0.748,1.298,-166.298,-0.0,0.305,1.892
9.119384050369263,0.749,1.297,-166.293,0.183,0.305,2.014
9.124317169189453,0.748,1.297,-166.288,0.061,0.305,2.014
9.129305124282837,0.746,1.296,-166.283,-0.244,0.244,1.831
9.134323835372925,0.743,1.296,-166.279,-0.671,0.244,1.831
9.139326095581055,0.739,1.296,-166.276,-0.977,0.183,1.77
9.144306182861328,0.735,1.296,-166.272,-0.916,0.183,1.77
9.149441957473755,0.735,1.296,-166.269,-0.549,0.183,1.831
9.154403924942017,0.736,1.296,-166.266,-0.244,0.183,1.831
9.159426927566528,0.74,1.296,-166.264,0.122,0.244,1.953
9.164386987686157,0.742,1.296,-166.262,0.122,0.244,1.953
9.169378995895386,0.743,1.297,-166.26,-0.061,0.183,1.953
9.174377202987671,0.741,1.297,-166.258,-0.488,0.183,1.892
9.179336071014404,0.737,1.297,-166.257,-0.854,0.183,1.831
9.184355020523071,0.734,1.296,-166.255,-1.038,0.183,1.831
9.189395904541016,0.733,1.296,-166.254,-0.793,0.183,1.831
9.194342136383057,0.734,1.296,-166.253,-0.427,0.244,1.831
9.199290990829468,0.737,1.297,-166.251,-0.0,0.244,1.953
9.204334020614624,0.74,1.297,-166.248,0.183,0.305,2.014
9.20932126045227,0.741,1.297,-166.247,0.061,0.305,1.953
9.214333057403564,0.741,1.297,-166.245,-0.244,0.244,1.953
9.219300985336304,0.739,1.297,-166.243,-0.671,0.244,1.892
9.2243070602417,0.736,1.298,-166.242,-0.916,0.183,1.831
9.229308128356934,0.734,1.298,-166.241,-0.793,0.183,1.831
9.234314918518066,0.735,1.299,-166.24,-0.549,0.183,1.831
9.239302158355713,0.737,1.299,-166.238,-0.305,0.183,1.892
9.24429988861084,0.74,1.299,-166.237,-0.061,0.244,1.953
9.249295949935913,0.743,1.299,-166.235,-0.0,0.305,1.953
9.254306077957153,0.745,1.299,-166.233,-0.061,0.305,1.953
9.25940489768982,0.745,1.299,-166.232,-0.305,0.244,1.892
9.264312028884888,0.744,1.299,-166.23,-0.61,0.244,1.892
9.2693190574646,0.742,1.299,-166.229,-0.793,0.183,1.831
9.27428913116455,0.742,1.299,-166.229,-0.671,0.244,1.831
9.279282093048096,0.743,1.299,-166.228,-0.427,0.183,1.831
9.284305095672607,0.745,1.299,-166.226,-0.183,0.244,1.892
9.28928804397583,0.747,1.299,-166.225,-0.122,0.244,1.953
9.294400930404663,0.749,1.299,-166.223,-0.183,0.244,1.953
9.29929494857788,0.749,1.299,-166.222,-0.366,0.244,1.953
9.304311990737915,0.749,1.299,-166.22,-0.61,0.244,1.892
9.309300899505615,0.748,1.299,-166.219,-0.61,0.244,1.892
9.314397096633911,0.748,1.3,-166.218,-0.549,0.244,1.831
9.319313049316406,0.749,1.3,-166.218,-0.366,0.183,1.831
9.324378967285156,0.751,1.3,-166.217,-0.244,0.244,1.831
9.329299211502075,0.752,1.3,-166.215,-0.244,0.244,1.953
9.334275960922241,0.754,1.299,-166.214,-0.244,0.244,1.892
9.339292049407959,0.754,1.299,-166.213,-0.366,0.183,1.892
9.34426498413086,0.754,1.299,-166.211,-0.427,0.183,1.892
9.349390983581543,0.751,1.299,-166.207,-0.549,0.244,1.892
9.3543541431427,0.749,1.298,-166.204,-0.549,0.244,1.892
9.359337091445923,0.747,1.298,-166.201,-0.488,0.183,1.892
9.364297866821289,0.747,1.298,-166.198,-0.244,0.183,1.892
9.369293928146362,0.746,1.298,-166.194,-0.122,0.244,1.953
